Explanation,Bounds
"['Mg > 0.17', 'RI > 0.28']","[[0.280001 1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.80', 'Al <= 0.27']","[[0.       1.      ]
 [0.       1.      ]
 [0.800001 1.      ]
 [0.       0.27    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['Mg > 0.80'],"[[0.       1.      ]
 [0.       1.      ]
 [0.800001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['Mg > 0.77'],"[[0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['Mg > 0.77'],"[[0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.77', 'K > 0.08']","[[0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.080001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.77', 'Al <= 0.37']","[[0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       0.37    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.17', 'K > 0.01']","[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.010001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.27', 'Na <= 0.40']","[[0.   1.  ]
 [0.   0.4 ]
 [0.   1.  ]
 [0.   0.27]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
"['Mg > 0.17', 'Al <= 0.45']","[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       0.45    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg <= 0.17', 'Al > 0.45', 'Na > 0.34']","[[0.       1.      ]
 [0.340001 1.      ]
 [0.       0.17    ]
 [0.450001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.17', 'Al <= 0.45']","[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       0.45    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.17', 'K > 0.01']","[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.010001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.17', 'Al <= 0.37']","[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       0.37    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg <= 0.17', 'Al > 0.45', 'Ba > 0.00']","[[0.00000e+00 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [0.00000e+00 1.70000e-01]
 [4.50001e-01 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [1.00000e-06 1.00000e+00]
 [0.00000e+00 1.00000e+00]]"
"['Mg > 0.17', 'Al <= 0.45']","[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       0.45    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg <= 0.17', 'Al > 0.45', 'Fe <= 0.00']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.17    ]
 [0.450001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]]"
"['Mg > 0.77', 'K > 0.08']","[[0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.080001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.17', 'Si <= 0.58']","[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       1.      ]
 [0.       0.58    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['Mg > 0.17'],"[[0.       1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg <= 0.17', 'Al > 0.45', 'Ba > 0.00']","[[0.00000e+00 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [0.00000e+00 1.70000e-01]
 [4.50001e-01 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [0.00000e+00 1.00000e+00]
 [1.00000e-06 1.00000e+00]
 [0.00000e+00 1.00000e+00]]"
"['Mg > 0.17', 'RI > 0.23']","[[0.230001 1.      ]
 [0.       1.      ]
 [0.170001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.80', 'Al <= 0.27']","[[0.       1.      ]
 [0.       1.      ]
 [0.800001 1.      ]
 [0.       0.27    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.77', 'RI > 0.35']","[[0.350001 1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Mg > 0.77', 'RI > 0.35']","[[0.350001 1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['Mg > 0.80'],"[[0.       1.      ]
 [0.       1.      ]
 [0.800001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
